,justice
0,Hugo Black
1,Stanley Reed
2,Felix Frankfurter
3,William Douglas
4,Francis Murphy
5,James Byrnes
6,Robert Jackson
7,Wiley Rutledge
8,Harold Burton
9,Fred Vinson
10,Tom Clark
11,Sherman Minton
12,Earl Warren
13,John Harlan
14,William Brennan
15,Charles Whittaker
16,Potter Stewart
17,Byron White
18,Arthur Goldberg
19,Abe Fortas
20,Thurgood Marshall
21,Warren Burger
22,Harry Blackmun
23,Lewis Powell
24,William Rehnquist
25,John Stevens
26,Sandra O'Connor
27,Antonin Scalia
28,Anthony Kennedy
29,David Souter
30,Clarence Thomas
31,Ruth Bader Ginsburg
32,Stephen Breyer
33,John Roberts
34,Samuel Alito
35,Sonia Sotomayor
36,Elena Kagan
37,Neil Gorsuch
38,Brett Kavanaugh
39,Amy Coney Barrett