1.3,1.26,1.15,1.26,1.57,1.18,1.16
1.72,1.6,1.72,1.42,2,1.75,1.45
1.47,1.36,1.52,1.42,1.5,1.12,1.6
1.13,1.1,1.05,1.24,1.33,1.1,1.18
1.18,1.15,1.38,1.3,2,,1.16
,,,,,,
1.61,1.51,1.7,1.57,1.75,1,1.62
1.24,1.23,1.29,1.24,2,,1.14
1.68,1.5,1.64,1.48,2,1.5,1.49
1.69,1.55,1.75,1.49,2,2,1.41
1.63,1.42,1.63,1.27,1.5,1.38,1.28
1.69,1.59,1.73,1.41,2,1.75,1.39
1.22,1.16,1.22,1.17,1,1.27,1.19
1.6,1.54,1.58,1.34,1.33,1.31,1.62
1.24,1.17,1.16,1.24,1.41,1.15,1.3
1.56,1.45,1.62,1.35,2,2,1.63
1.5,1.47,1.34,1.42,1.62,1.26,1.53
1.64,1.43,1.55,1.51,1.84,1.58,1.4
1.17,1.05,1.08,1.2,1,1,1.31
1.19,1.15,1.19,1,,1.2,1.27
1.2,1.15,1.16,1.23,1.42,1.16,1.37
1.8,1.62,1.7,1.62,1.88,1.57,1.55
1.57,1.39,1.45,1.48,1.51,1.25,1.45
1.7,1.6,1.53,1.53,1.71,1.61,1.54
1.82,1.74,1.78,1.71,1.84,1.73,1.53
1.34,1.36,1.32,1.36,1.46,1.26,1.44
1.74,1.58,1.58,1.6,1.61,1.71,1.53
1.72,1.7,1.7,1.65,1.76,1.6,1.54
1.65,1.59,1.53,1.52,1.74,1.48,1.55
1.44,1.39,1.3,1.37,1.41,1.42,1.46
1.78,1.75,1.66,1.69,1.76,1.52,1.55
1.39,1.36,1.33,1.31,1.38,1.25,1.43
1.45,1.36,1.46,1.25,1.51,1.35,1.5
1.66,1.58,1.49,1.46,1.77,1.48,1.56
1.8,1.65,1.54,1.56,1.89,1.45,1.58
1.34,1.29,1.34,1.16,1.47,1.25,1.49
1.4,1.29,1.35,1.27,1.54,1.17,1.49
1.64,1.5,1.33,1.69,2,1.67,1.62
1.63,1.69,1.42,1.56,2,1.5,1.57
1.77,1.75,1,1.75,2,,1.73